u_mask,l_mask,presence_fraction,u_vaccination_ratio,l_vaccination_ratio
FALSE,FALSE,1,0.8,0.8
TRUE,TRUE,1,0.8,0.8
TRUE,FALSE,1,0.8,0.8
FALSE,TRUE,1,0.8,0.8
FALSE,FALSE,0.5,0.8,0.8
TRUE,TRUE,0.5,0.8,0.8
TRUE,FALSE,0.5,0.8,0.8
FALSE,TRUE,0.5,0.8,0.8
FALSE,FALSE,0.25,0.8,0.8
TRUE,TRUE,0.25,0.8,0.8
TRUE,FALSE,0.25,0.8,0.8
FALSE,TRUE,0.25,0.8,0.8
FALSE,FALSE,1,0.7,0.7
TRUE,TRUE,1,0.7,0.7
TRUE,FALSE,1,0.7,0.7
FALSE,TRUE,1,0.7,0.7
FALSE,FALSE,0.5,0.7,0.7
TRUE,TRUE,0.5,0.7,0.7
TRUE,FALSE,0.5,0.7,0.7
FALSE,TRUE,0.5,0.7,0.7
FALSE,FALSE,0.25,0.7,0.7
TRUE,TRUE,0.25,0.7,0.7
TRUE,FALSE,0.25,0.7,0.7
FALSE,TRUE,0.25,0.7,0.7
